French,English
partie,part
police,police
frère,brother
laisser,let
laisse,leash
ville,city
chaque,each
arrivé,come
devrait,should
bébé,baby
longtemps,long time
heures,hours
aucune,any
donner,give
type,type
leurs,their
donné,given
endroit,place
yeux,eyes
dont,whose
trouve,find
main,hand
côté,side
pouvoir,power
vieux,old
sois,be
enfant,child
venu,came
mis,placed
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
enfin,finally
attendez,Wait
parti,left
boulot,job
loin,far
fin,end
croire,believe
gros,large
filles,girls
jouer,to play
bureau,office
